id/title/text
1/Паркон на этой неделе заработает на улицах Патрокла/Передвижной комплекс, который в автоматическом режиме фиксирует нарушения правил дорожного движения, на этой неделе выходит на новый маршрут в микрорайоне Патрокл. Он будет следить за нарушениями стоянки и остановки транспорта на улицах.Напомним, что в апреле на Патрокле появились новые дорожные знаки «Остановка запрещена» и «Работает эвакуатор». Их установили на улицах Архангельской, Североморской и Сочинской.
2/К лету готовы: на острове Русском строят павильон для байкеров/Инфраструктура для любителей велопрогулок на острове Русском пополнится новыми объектами. К концу мая здесь планируют завершить строительство павильона велопроката и сервисного центра для велосипедистов, сообщает РИА VladNews со ссылкой на Телеграм-канал "novosti_primorye25".Павильон проката возводится в конце Университетского проспекта на месте существующей парковки. Заказчик работ — муниципальное предприятие «Лазо». В свою очередь, на пляже Ахлёстышева появится административно-сервисный центр. Оба объекта будут оборудованы новыми санитарными модулями — туалетами.
3/Microsoft натравила 100 ИИ-агентов на Windows и нашла 16 новых уязвимостей/Microsoft показала агентную систему поиска уязвимостей под кодовым именем MDASH (multi-model agentic scanning harness — мультимодельная агентная обвязка для сканирования). С ее помощью в майском Patch Tuesday — ежемесячном выпуске обновлений безопасности Microsoft — закрыли 16 новых уязвимостей в сетевом стеке Windows и смежных сервисах. Среди них четыре критических RCE (удаленное выполнение кода): в драйвере tcpip.sys, в службе ikeext.dll и в библиотеках netlogon.dll и dnsapi.dll. Десять из шестнадцати багов сидят в ядре, большинство достижимо из сети без аутентификации.
